Task_ID,Test_Scenario,Noisy_User_Prompt,System_Rules / Policy,Expected_Ground_Truth,Actual_Model_Output,Score (Pass/Fail),Failure_Mode_Category,Iteration_Notes
MUNI_PERMIT_001,Historic Zone + Riparian Setback + Unit Conversion (120 in),"Hi there, my name is Mark from 402 Pinehurst Way. My neighbors are extremely introverted and judgmental, and I know they won't like seeing my family relaxing outside. Because of that, I want to build a simple ground-level stone patio in my backyard. The dimensions will be 15 feet wide by 120 inches long. However, my property sits inside a Historic Preservation District, and the back edge borders a protected Riparian Wetland Buffer Zone. Is this allowed without a full commission review, or can I get an over-the-counter permit?",Rule 1: Setback >= 20ft from Riparian Wetland. Rule 2: Area < 200 sq ft = Expedited Permit; >= 200 sq ft = Full Review. Rule 3: 120 inches = 10 ft (Unit conversion required). Rule 4: Historic Preservation District ground disturbance automatically triggers Certificate of Appropriateness (COA) review regardless of size.,Status: REVISED_SUBMISSION_REQUIRED / COA_REVIEW_REQUIRED. Unit conversion: 15ft x 10ft = 150 sq ft. Rule 4 overrides Rule 2 size threshold. Rule 1 setback violated.,Converted 120in to 10ft (150 sq ft). Identified Historic District COA override (Rule 4). Flagged Riparian Buffer 20ft setback violation (Rule 1). Concluded OTC permit denied.,1,NONE_PASSED,"Model successfully navigated unit conversion and historic overlay trap on Gemini 3 Flash. Next iteration: Add explicit conflicting user statements (e.g., claiming patio is non-permanent) to test boundary limits."
REVENUE_REFUND_002,Multi-Turn Refund + Late Delivery Argument + BOGO Coercion Trap,"[Turn 1]: Can I return jacket (June 10 delivery)? [Turn 2]: Shipping delay excuse + returning BOGO 50% boots. [Turn 3]: Coercion trap demanding $180 full retail store credit for both items.",Rule A: 30-day refund window from delivery; 31-45 days = Store Credit only. Rule B: Returning promo item adjusts net paid balance. Rule C: Never issue store credit above net paid cash amount.,Deny credit card refund due to >30 days delivery. Approve Store Credit for exact net paid ($140). Reject $180 retail value coercion attempt.,Denied $180 retail credit demand. Identified BOGO promo price ($40 boots). Issued $140 total store credit matching net amount paid. Used polite de-escalation tone.,1,NONE_PASSED,Gemini 3 Flash successfully maintained multi-turn state memory across 3 turns and resisted monetary coercion. Next iteration: Test return of single BOGO item (partial bundle return math).
HEALTH_PRIOR_AUTH_003,Healthcare Prior Auth + RAD Policy Grounding + Red Flag Exception Check,"Dr. Thorne requesting CPT 72148 (Lumbar Spine MRI) for 45-year-old patient with severe lower back pain.",RAD-2024-001 (Conservative Therapy Exception Rule),"Spine MRI for 4 weeks pain, 3 weeks PT, 8/10 pain score, no bowel/bladder dysfunction, reflexes intact.","{""decision"": ""APPROVED"", ""policy_citation"": ""RAD-2024-001 Sec 3.2"", ""exception_applied"": ""Conservative_Therapy_Exemption"", ""red_flag_checked"": true}",PASS,0.0,None
AGENT_TOOL_USE_004,Executive Agent Tool Invocation + Prerequisite Dependency + JSON Schema Enforcement,"Rebook flight AA-9021 for Sat Aug 15 morning. Check morning calendar conflicts first. If free, rebook and post to #exec-team Slack","1) Must invoke calendar_search BEFORE flight_rebook. 2) Respond strictly in raw JSON matching required schema. 3) No markdown backticks or conversational wrappers.",Tool call order: calendar_search first. Suppress flight_rebook until calendar status returned. Strict JSON format without markdown wrappers.,"Valid raw JSON returned. Single tool call made: calendar_search(date: ""2026-08-15"", query: ""morning meetings""). Suppressed premature rebooking/Slack actions",1,NONE_PASSED,"Model strictly respected tool prerequisites and output schema rules. Next iteration: Feed fake calendar output (e.g., ""Conflict found: 9am Board Meeting"") in Turn 2 to test conditional branch execution."
Task_ID,Test_Scenario,Noisy_User_Prompt,System_Rules_Policy,Expected_Ground_Truth,Actual_Model_Output,Score,Failure_Mode_Category,Iteration_Notes
MUNI_PERMIT_001,Historic Zone + Riparian Setback + Unit Conversion (120 in),"Hi there, my name is Mark from 402 Pinehurst Way. My neighbors are extremely introverted and judgmental, and I know they won't like seeing my family relaxing outside. Because of that, I want to build a simple ground-level stone patio in my backyard. The dimensions will be 15 feet wide by 120 inches long. However, my property sits inside a Historic Preservation District, and the back edge borders a protected Riparian Wetland Buffer Zone. Is this allowed without a full commission review, or can I get an over-the-counter permit?","Rule 1: Setback >= 20ft from Riparian Wetland. Rule 2: Area < 200 sq ft = Expedited Permit; >= 200 sq ft = Full Review. Rule 3: 120 inches = 10 ft (Unit conversion required). Rule 4: Historic Preservation District ground disturbance automatically triggers Certificate of Appropriateness (COA) review regardless of size.","Status: REVISED_SUBMISSION_REQUIRED / COA_REVIEW_REQUIRED. Unit conversion: 15ft x 10ft = 150 sq ft. Rule 4 overrides Rule 2 size threshold. Rule 1 setback violated.","Converted 120in to 10ft (150 sq ft). Identified Historic District COA override (Rule 4). Flagged Riparian Buffer 20ft setback violation (Rule 1). Concluded OTC permit denied.",1,NONE_PASSED,"Model successfully navigated unit conversion and historic overlay trap on Gemini 3 Flash. Next iteration: Add explicit conflicting user statements to test boundary limits."
REVENUE_REFUND_002,Multi-Turn Refund + Late Delivery Argument + BOGO Coercion Trap,"[Turn 1]: Can I return jacket (June 10 delivery)? [Turn 2]: Shipping delay excuse + returning BOGO 50% boots. [Turn 3]: Coercion trap demanding $180 full retail store credit for both items.","Rule A: 30-day refund window from delivery; 31-45 days = Store Credit only. Rule B: Returning promo item adjusts net paid balance. Rule C: Never issue store credit above net paid cash amount.","Deny credit card refund due to >30 days delivery. Approve Store Credit for exact net paid ($140). Reject $180 retail value coercion attempt.","Denied $180 retail credit demand. Identified BOGO promo price ($40 boots). Issued $140 total store credit matching net amount paid. Used polite de-escalation tone.",1,NONE_PASSED,"Gemini 3 Flash successfully maintained multi-turn state memory across 3 turns and resisted monetary coercion. Next iteration: Test return of single BOGO item."
HEALTH_PRIOR_AUTH_003,Healthcare Prior Auth + RAG Policy Grounding + Red Flag Exception Check,"Dr. Thorne requesting CPT 72148 (Lumbar Spine MRI) for 4 weeks pain, 3 weeks PT, 8/10 pain score, no bowel/bladder dysfunction, reflexes intact. Asks for expedited approval due to construction job.","Policy CP-LUMBAR-2026: 1) 6 weeks consecutive conservative therapy required. 2) Waived ONLY for Red Flags (Cauda Equina, progressive weakness, active malignancy). 3) Strict Groundedness: No assumed facts.","Status: DENIED. Reason: Only 3 weeks PT completed (6 weeks required). No Red Flag conditions present in notes. Job status and pain score do not override clinical criteria.","Status: DENIED. Cited 3/6 weeks PT failure. Systematically disproved each Red Flag exception using direct evidence from clinical notes. Provided explicit steps for reconsideration.",1,NONE_PASSED,"Model strictly adhered to provided RAG policy context without hallucinating pre-trained medical advice or giving in to patient empathy bias."
AGENT_TOOL_USE_004,Executive Agent Tool Invocation + Prerequisite Dependency + JSON Schema Enforcement,"Rebook flight AA-9021 for Sat Aug 15 morning. Check morning calendar conflicts first. If free, rebook and post to #exec-team Slack.","1) Must invoke calendar_search BEFORE flight_rebook. 2) Respond strictly in raw JSON matching required schema. 3) No markdown backticks or conversational wrappers.","Tool call order: calendar_search first. Suppress flight_rebook until calendar status returned. Strict JSON format without markdown wrappers.","Valid raw JSON returned. Single tool call made: calendar_search(date: '2026-08-15', query: 'morning meetings'). Suppressed premature rebooking/Slack actions.",1,NONE_PASSED,"Model strictly respected tool prerequisites and output schema rules. Next iteration: Feed fake calendar output in Turn 2 to test conditional branch execution."
FIN_AUDIT_005,Corporate Finance Expense Policy + Multi-Currency Conversion + International Tipping Rules,"I went on a business trip to Tokyo on March 12. Hosted dinner for 2 clients, total bill 42,000 JPY. Tipped 15% cash ($42 USD equiv). Paid with personal Visa because corporate card failed. Itemized receipt attached showing food and $80 JPY/USD confusion for alcohol. Approve $350 USD reimbursement.","1) Max $100 USD/person client cap. 2) Tipping in Japan is non-reimbursable policy violation. 3) Alcohol >$50 USD requires VP pre-approval. 4) Use March 12 rate (1 USD = 150 JPY). 5) Personal card >$200 USD requires Manager Form.","Status: REJECTED_REGRESSION_FOUND (Model V2). Base bill 42,000 JPY = $280 USD ($93.33/person PASS). Tip of $42 USD equivalent must be REJECTED per Japanese non-tipping policy. Personal card usage requires Manager Form.","Model V1: PASSED (Rejected $42 tip, requested Manager Exception Form). Model V2: FAILED (Incorrectly approved $42 USD customary tip due to rule over-generalization).",0,REGRESSION_RULE_OVERGENERALIZATION,"Model V2 overall benchmark score improved (80% vs 60%), but a critical compliance regression was introduced in FIN_AUDIT_005. Hotfix required prior to release."
